title,image,describe,category,ID
IDANÄS,C:\Users\admin\Downloads\app_30798308\idanaes-bed-frame-white-luroey__0916067_pe784943_s5.jpg,"With timeless design, traditional detailing and a sturdy construction, IDANÄS bed frame is easy to love for years. The headboard creates a nice silhouette and makes the bed the centrepiece of your bedroom.",bed,00028
MALM,C:\Users\admin\Downloads\app_30798308\malm-bed-frame-with-mattress-white-abygda-medium-firm__1236208_pe917488_s5.jpg,"A clean design that’s just as beautiful on all sides – place the bed freestanding or with the headboard against a wall. If you need space for extra bedding, add MALM bed storage boxes on castors.",bed,00029
VEVELSTAD,C:\Users\admin\Downloads\app_30798308\vevelstad-bed-frame-white__1035358_pe840534_s5.jpg,VEVELSTAD is a versatile bed frame that is great to match with other furnishings. It has a simple and clean design in metal and is easy to both buy and take home since it’s sold as one compact package.,bed,00030
IDANÄS,C:\Users\admin\Downloads\app_30798308\idanaes-upholstered-storage-bed-gunnared-dark-grey__1151051_pe884753_s5.jpg,"The sloping headboard and soft upholstery make this bed frame extra comfortable. Classic button detailing and turned wooden legs are timeless, while soft-closing drawers under the bed add everyday storage.",bed,00031
VITARNA,C:\Users\admin\Downloads\app_30798308\vitarna-four-poster-bed-frame-white-luroey__1339949_pe948465_s5.jpg,"With VITARNA four-poster bed, you can create a cosy space for both sleeping and relaxing. Add curtains and lighting to design your own little nook, even in a shared room.",bed,00032
GURSKEN,C:\Users\admin\Downloads\app_30798308\gursken-bed-frame-with-headboard-light-beige-luroey__0946599_pe798165_s5.jpg,"GURSKEN bed has a simple, clean design – perfect for furnishing an apartment or guest room quickly and easily. A great match with the bedside table, chest of drawers and wardrobe in the same series!",bed,00033
LYNGÖR,C:\Users\admin\Downloads\app_30798308\lyngoer-divan-bed-valevag-firm-light-blue-white__1246135_pe922022_s5.jpg,"A comfortable combination – LYNGÖR bed base and VALEVÅG mattress. The bed base has flat slats with an even surface for the mattress, while the mattress has pockets springs and 5 comfort zones.",bed,00034
ASKVOLL,C:\Users\admin\Downloads\app_30798308\askvoll-bed-frame-white-luroey__0637517_pe698357_s5.jpg,"Let the clean, simple design stand out or let the bed be a backdrop for your favourite textiles or other furnishings. The low headboard makes it a perfect choice under a window or sloped ceiling.",bed,00035
BRIMNES,C:\Users\admin\Downloads\app_30798308\brimnes-day-bed-w-2-drawers-2-mattresses-white-afjaell-medium-firm__1161840_pe889557_s5.jpg,"A sofa by day and a bed for one – or two – by night. The two large drawers give plenty of space for duvets, pillows and bed linen. A smart solution when you live in a small space.",bed,00036
TARVA,C:\Users\admin\Downloads\app_30798308\tarva-bed-frame-pine-luroey__0637611_pe698421_s5.jpg,TARVA bed frame is a modern example of Scandinavian furniture tradition – a simple design and untreated wood. A timeless expression mixes nicely with a variety of other styles and furniture.,bed,00037
TUFJORD,C:\Users\admin\Downloads\app_30798308\tufjord-upholstered-bed-frame-tallmyra-black-blue-loenset__1259492_pe926697_s5.jpg,"TUFJORD will make you long for bedtime. The headboard’s embracing curves help you to unwind, and make lazy mornings spent in bed even cosier. And the soft, textured upholstery enhances the comfy feel.",bed,00038
BALESTRAND,C:\Users\admin\Downloads\app_30798308\balestrand-divan-bed-with-2-drawers-skiftebo-grey__0616676_pe687736_s5.jpg,The 2 large integrated drawers give you an extra storage space under the bed.,bed,00039
SLATTUM,C:\Users\admin\Downloads\app_30798308\slattum-upholstered-bed-frame-vissle-dark-grey__1259336_pe926649_s5.jpg,SLATTUM bed frame has soft upholstery and a padded headboard that complete the stylish and simple lines. Easy to like – and convenient to bring home thanks to the whole frame coming in a single package.,bed,00040
SMÅSTAD,C:\Users\admin\Downloads\app_30798308\smastad-loft-bed-frame-w-desk-and-storage-white__1168283_pe891862_s5.jpg,"An extra room isn’t always an option when space is limited at home. But there are other solutions. Here’s room for sleeping, studying, storing, playing and chilling that only takes up 2m2 of space.",bed,00041
RAMNEFJÄLL,C:\Users\admin\Downloads\app_30798308\ramnefjaell-upholstered-bed-frame-kilanda-light-beige-luroey__1258168_pe927358_s5.jpg,This upholstered bed frame makes your bedroom feel soft and warm. The curved headboard and piped edges create a classic look – and the entire cover is removable and machine washable.,bed,00042
MALM,C:\Users\admin\Downloads\app_30798308\malm-bedroom-furniture-set-of-4-white__1101637_pe866490_s5.jpg,"With clean lines and a simple streamlined design, MALM bedroom furniture never goes out of style. Enjoy a coordinated look in your bedroom with this bed frame, 2 bedside tables and a chest of 6 drawers.",bed,00043
BJÖRKSNÄS,C:\Users\admin\Downloads\app_30798308\bjoerksnaes-bed-frame-birch-birch-veneer-luroey__1175828_pe894830_s5.jpg,The BJÖRKSNÄS collection has its roots in Scandinavian craftsmanship tradition. Classic and freestanding in durable natural materials with nice details and proportions that make them fit in many rooms.,bed,00044
TARVA,C:\Users\admin\Downloads\app_30798308\tarva-bed-frame-white-stained-luroey__1273539_pe930095_s5.jpg,TARVA bed frame has a simple design in white-stained pine – a timeless look that goes nicely with many styles and furniture. Add some pillows and lean against the headboard while reading or watching TV.,bed,00045
GLADSTAD,C:\Users\admin\Downloads\app_30798308\gladstad-upholstered-bed-frame-kabusa-light-grey__0984348_pe816238_s5.jpg,"The GLADSTAD upholstered bed frame has a clean and modern design, while being comfortable and inviting with its padded headboard and soft cover with a slight texture. Sleep tight – in style!",bed,00046
MANDAL,C:\Users\admin\Downloads\app_30798308\mandal-bed-frame-with-storage-birch-white__0377866_pe554115_s5.jpg,"Made of solid wood, which is a hardwearing and warm natural material.",bed,00047
MALM,C:\Users\admin\Downloads\app_30798308\malm-ottoman-bed-white__0764898_pe753384_s5.jpg,This bed gives you spacious storage without taking up more floor space. Simply flip up the bed base and hide your things inside. Place it freestanding or with the headboard against a wall.,bed,00048
SONGESAND,C:\Users\admin\Downloads\app_30798308\songesand-bed-frame-with-4-storage-boxes-white-luroey__1151019_pe884760_s5.jpg,"A sturdy bed frame with soft, profile edges and high legs. A classic shape that will last for many years. Also, there are spacious storage boxes under the bed where you can store bedding or clothes.",bed,00049
IDANÄS,C:\Users\admin\Downloads\app_30798308\idanaes-bed-frame-with-storage-white-luroey__1151017_pe884724_s5.jpg,"IDANÄS bed frame with storage is both eyecatching and practical. The built-in drawers make use of the space under your bed, and are also soft-closing. The timeless design is easy to love for a long time.",bed,00050
BRIMNES,C:\Users\admin\Downloads\app_30798308\brimnes-day-bed-frame-with-2-drawers-white__1161827_pe889528_s5.jpg,"A sofa by day and a bed for one – or two – by night. The two large drawers give plenty of space for duvets, pillows and bed linen. A smart solution when you live in a small space.",bed,00051
TÄLLÅSEN,C:\Users\admin\Downloads\app_30798308\taellasen-upholstered-bed-frame-kulsta-grey-green-luroey__1198828_pe904232_s5.jpg,"Clean lines, colour-coordinated upholstery, metal parts and a soft, comfy headboard. TÄLLÅSEN has many well-designed details, adding a modern look to your bedroom that combines easily with other furniture.",bed,00052
FRIHETEN,C:\Users\admin\Downloads\app_30798308\friheten-corner-sofa-bed-with-storage-bomstad-black__0248337_pe386785_s5.jpg,"After a good night’s sleep, you can effortlessly convert your bedroom or guest room into a living room again. The built-in storage is easy to access and spacious enough to stow bedding, books and PJs.",bed,00053
UTÅKER,C:\Users\admin\Downloads\app_30798308\utaker-stackable-bed-with-2-mattresses-pine-afjaell-medium-firm__1161848_pe889564_s5.jpg,"When stacked, these 2 beds become a single bed or sofa. Unstacked, you get a double bed, corner sofa or spare bed for sleepovers. And, if you need space for yoga, just stack them again.",bed,00054
GLAMBERGET,C:\Users\admin\Downloads\app_30798308\glamberget-extendable-bed-with-storage-pine__1335915_pe947203_s5.jpg,"The GLAMBERGET series is smart, space-saving and multi-functional furniture. The extendable bed works for different mattress sizes and comes with 2 storage boxes and tray tables.",bed,00055
PLATSA,C:\Users\admin\Downloads\app_30798308\platsa-bed-frame-with-storage-white__0743693_pe743113_s5.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,bed,00056
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-with-mattress-white-stain-valevag-medium-firm__1236192_pe917468_s5.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",bed,00057
BALESTRAND,C:\Users\admin\Downloads\app_30798308\balestrand-divan-base-with-2-drawers-skiftebo-grey__0592975_pe674842_s5.jpg,The 2 large integrated drawers give you an extra storage space under the bed.,bed,00058
SMÅSTAD,C:\Users\admin\Downloads\app_30798308\smastad-loft-bed-white-white-with-desk-with-4-drawers__1168334_pe891901_s5.jpg,"Your child’s very own space for sleeping, drawing, storing, doing homework and playing with friends. This loft bed combination is like a mini room within a room on only 2 square metres of space.",bed,00059
VEVELSTAD,C:\Users\admin\Downloads\app_30798308\vevelstad-bed-frame-white__1035360_pe840536_s5.jpg,VEVELSTAD is a versatile bed frame that is great to match with other furnishings. It has a simple and clean design in metal and is easy to both buy and take home since it’s sold as one compact package.,bed,00060
MALM,C:\Users\admin\Downloads\app_30798308\malm-chest-of-2-drawers-white__0626822_pe693007_s5.jpg,"A clean expression that fits right in, in the bedroom or wherever you place it. Smooth-running drawers and in a choice of finishes – pick your favourite.",bed,00061
FLEKKE,C:\Users\admin\Downloads\app_30798308\flekke-day-bed-w-2-drawers-2-mattresses-white-afjaell-medium-firm__1162511_pe889845_s5.jpg,"A sofa by day and a bed for one – or two – by night. The two large drawers give plenty of space for duvets, pillows and bed linen. A smart solution when you live in a small space.",bed,00062
GLAMBERGET,C:\Users\admin\Downloads\app_30798308\glamberget-bed-frame-with-storage-and-mattress-pine-vesteroey-medium-firm__1335911_pe947199_s5.jpg,"The GLAMBERGET series is smart, space-saving and multi-functional furniture. This extendable bed comes with VESTERÖY pocket sprung mattress – and 2 storage boxes and tray tables.",bed,00063
MINNEN,C:\Users\admin\Downloads\app_30798308\minnen-ext-bed-frame-with-slatted-bed-base-white__0636271_pe697771_s5.jpg,This extendable bed grows as your child grows – without lightening your wallet. Every detail is made with care and the timeless look is easy to match with other furniture.,bed,00064
SAGESUND,C:\Users\admin\Downloads\app_30798308\sagesund-upholstered-bed-frame-diseroed-brown-loenset__1124332_pe888920_s5.jpg,"This upholstered bed frame has a slightly sloped headboard with 2 soft inviting pillows – perfect as a backrest when you sit in bed. Also, the cover of the entire frame is removable and machine washable.",bed,00065
SNIGLAR,C:\Users\admin\Downloads\app_30798308\sniglar-bed-frame-with-slatted-bed-base-beech__0637773_pe698533_s5.jpg,How can a bed in solid wood cost so little? The answer is simple – efficient production in large volumes and a smart construction that can be transported in a flat-pack at a low cost.,bed,00066
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-white-stain__0637616_pe698429_s5.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",bed,00067
GLADSTAD,C:\Users\admin\Downloads\app_30798308\gladstad-upholstered-bed-4-storage-boxes-kabusa-light-grey__1116349_pe872495_s5.jpg,GLADSTAD upholstered bed frame with bed storage boxes has a clean and modern design with a padded headboard and soft cover. The storage boxes are easy to roll in under the bed – for practical storage.,bed,00068
VEVELSTAD,C:\Users\admin\Downloads\app_30798308\vevelstad-bed-frame-with-2-headboards-white-tolkning-rattan__1115625_pe872167_s5.jpg,"By combining the 2 TOLKNING headboards in natural fibres with VEVELSTAD bed frame, you create a warm expression while protecting the wall. A simple way to make your bedroom feel cosy and snug.",bed,00069
PLATSA,C:\Users\admin\Downloads\app_30798308\platsa-bed-frame-with-10-doors-white__0832898_pe778582_s5.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,bed,00070
NORDLI,C:\Users\admin\Downloads\app_30798308\nordli-bed-frame-w-storage-and-headboard-white__1151039_pe884742_s5.jpg,"There’s plenty of space in the drawers for clothes, extra duvets and sweet dreams – and you can position the headboard’s box and shelf so your favourite book is easy to reach. A perfect combination!",bed,00071
STJÄRNÖ,C:\Users\admin\Downloads\app_30798308\stjaernoe-bed-frame-white-luroey__1298068_pe936041_s5.jpg,Classic bed frame with a curved headboard and footboard – and decorative details that add a twist to the steel design. Dress with your favourite linens to make the bed an eye-catcher and personal haven.,bed,00072
NORDLI,C:\Users\admin\Downloads\app_30798308\nordli-bed-frame-with-storage-and-mattress-white-valevag-medium-firm__1236246_pe917520_s5.jpg,"The compact design is perfect for tight spaces or under low ceilings, so you can make the most of your available space.",bed,00073
UTÅKER,C:\Users\admin\Downloads\app_30798308\utaker-stackable-bed-pine__1161849_pe889565_s5.jpg,"When stacked, these 2 beds become a single bed or sofa. Unstacked, you get a double bed, corner sofa or spare bed for sleepovers. And, if you need space for yoga, just stack them again.",bed,00074
BLÅKULLEN,C:\Users\admin\Downloads\app_30798308\blakullen-uph-bed-frame-with-corner-headboard-knisa-medium-blue__0995498_pe821743_s5.jpg,"Ideal for compact living – a comfy bed and sofa in one! This bed frame is upholstered all around, the headboard makes a cosy corner for reading or watching movies, and it all comes in 1 convenient package.",bed,00075
VITARNA,C:\Users\admin\Downloads\app_30798308\vitarna-four-poster-bed-frame-white-luroey-skadis-white__1339951_pe948468_s5.jpg,"With VITARNA four-poster bed, you can create a cosy space for both sleeping and resting. This combination with SKÅDIS pegboards screens off and makes it easy to add more functions with accessories.",bed,00076
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-with-2-storage-boxes-white-stain-luroey__1154508_pe886085_s5.jpg,Adjustable bed sides allow you to use mattresses of different thicknesses.,bed,00077
SLÄKT,C:\Users\admin\Downloads\app_30798308\slaekt-bed-frame-with-3-storage-boxes-white__0859498_pe780931_s5.jpg,Bed with a clean design and 3 spacious storage boxes on castors that you can move as needed and also use as tables. All with a timeless look that can follow your child from toddler years to adulthood.,bed,00078
LINDÅKRA,C:\Users\admin\Downloads\app_30798308\lindakra-2-seat-sofa-bed-vissle-dark-grey__1360552_pe954473_s5.jpg,A functional sofa bed that has round and playful shapes with storage in the seat section and pouffe – that you can detach to use as an extra seat. Simple to care for thanks to the easy-care treated cover!,bed,00079
TONSTAD,C:\Users\admin\Downloads\app_30798308\tonstad-bed-frame-with-storage-off-white-luroey__1363625_pe955566_s5.jpg,"Classic design meets a graceful finish in the TONSTAD series in off-white, giving the furniture a solid sense of quality. This bed frame has soft-closing drawers, making the most of the space under the bed.",bed,00080
VADHEIM,C:\Users\admin\Downloads\app_30798308\vadheim-upholstered-bed-frame-gunnared-light-green__0859685_pe781076_s5.jpg,"Soft, comfortable and calming green – VADHEIM creates a feeling of warmth and tranquility in your bedroom. Clean design together with a rounded, padded headboard makes the bed both stylish and inviting.",bed,00081
GLAMBERGET,C:\Users\admin\Downloads\app_30798308\glamberget-extendable-bed-w-stor-2-mattresses-pine-agotnes-firm__1335919_pe947207_s5.jpg,"The GLAMBERGET series is smart, space-saving and multi-functional furniture. The extendable bed comes with 2 mattresses – so it functions as a day-bed and easily transforms into a bed for 2 by night.",bed,00082
PLATSA,C:\Users\admin\Downloads\app_30798308\platsa-bed-frame-with-10-drawers-white-fonnes__0746091_pe744316_s5.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,bed,00083
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-with-4-storage-boxes-white-stain-luroey__1154513_pe886108_s5.jpg,"A timeless beauty in solid wood that becomes the centerpiece of your bedroom. In the storage drawers under the bed you can put bedding, extra pillows, a warming blanket or anything else you want close by.",bed,00084
SAGESUND,C:\Users\admin\Downloads\app_30798308\sagesund-upholstered-bed-frame-diseroed-brown-luroey__1124338_pe888926_s5.jpg,"This upholstered bed frame has a slightly sloped headboard with a soft inviting pillow – perfect as a backrest when you sit in bed. Also, the cover of the entire frame is removable and machine washable.",bed,00085
NORDLI,C:\Users\admin\Downloads\app_30798308\nordli-bed-frame-with-storage-white__1151058_pe884758_s5.jpg,"NORDLI bed frame is more than a comfortable bed. It’s also a storage unit with 6 spacious drawers. A practical solution for clothes, extra duvets and sweet dreams – all in a small space.",bed,00086
MALM,C:\Users\admin\Downloads\app_30798308\malm-bedroom-furniture-set-of-2-white__1101664_pe866459_s5.jpg,"With clean lines and a simple streamlined design, MALM bedroom furniture never goes out of style. Enjoy a coordinated look in your bedroom with this bed frame and a bedside table.",bed,00087
LYNGÖR,C:\Users\admin\Downloads\app_30798308\lyngoer-divan-bed-valevag-medium-firm-light-blue-white__1246138_pe922023_s5.jpg,"A comfortable combination – LYNGÖR bed base and VALEVÅG mattress. The bed base has flat slats with an even surface for the mattress, while the mattress has pockets springs and 5 comfort zones.",bed,00088
LANDSKRONA,C:\Users\admin\Downloads\app_30798308\landskrona-3-seat-sofa-bed-gunnared-light-green-wood__1170140_pe892680_s5.jpg,These legs in solid oak give LANDSKRONA sofa a warm and natural look.,bed,00089
TÄLLÅSEN,C:\Users\admin\Downloads\app_30798308\taellasen-upholstered-bed-frame-with-mattress-kulsta-grey-green-vesteroey-firm__1236180_pe917460_s5.jpg,"Clean lines, colour-coordinated upholstery, metal parts and a soft, comfy headboard. TÄLLÅSEN has many well-designed details, adding a modern look to your bedroom that combines easily with other furniture.",bed,00090
KRITTER,C:\Users\admin\Downloads\app_30798308\kritter-bed-frame-with-slatted-bed-base-white__0636267_pe697767_s5.jpg,"In this robust white bed, your child sleeps safely with a sturdy guard rail by their side, both day and night. The same series also has tables and chairs that are perfect in the arts and crafts corner.",bed,00091
LURÖY,C:\Users\admin\Downloads\app_30798308\luroey-slatted-bed-base__0268303_pe406267_s5.jpg,LURÖY slatted bed base with curved slats helps to absorb your body weight. The open structure allows air to circulate – which improves the breathability of the mattress and keeps it fresh.,bed,00092
HEMNES,C:\Users\admin\Downloads\app_30798308\hemnes-bed-frame-white-stain-luroey__0637616_pe698429_s5.jpg,"Sustainable beauty from sustainably-sourced solid wood, a durable and renewable material that maintains its genuine character with each passing year. Combines with the other furniture in the HEMNES series.",bed,00093
BRIMNES,C:\Users\admin\Downloads\app_30798308\brimnes-headboard-with-storage-compartment-white__0636301_pe697796_s5.jpg,"When you are tight for space, try putting everything behind you. The hidden storage for books, magazines and all other things you like to keep nearby makes BRIMNES headboard a small-space hero.",bed,00094
SLÄKT,C:\Users\admin\Downloads\app_30798308\slaekt-bed-frame-with-slatted-bed-base-white__0637774_pe698536_s5.jpg,"This bed frame is very versatile. Combine it with an underbed with storage underneath, or with different modules to create extra storage space or a comfy place for hanging out with friends.",bed,00095
SLÄKT / NATTAPA,C:\Users\admin\Downloads\app_30798308\slaekt-nattapa-bed-frm-w-strg-guard-rl-slat-bd-bse-white__1305317_pe939442_s5.jpg,"A teenager's dream. A nice bed with lots of storage which swallows up everything from t-shirts to hobby things, and not least, dirty laundry. Everything in a small space and at a comfortable distance.",bed,00096
PLATSA,C:\Users\admin\Downloads\app_30798308\platsa-bed-frame-with-storage-white__0832900_pe778583_s5.jpg,PLATSA bed covers your sleep and storage needs helping you create your own oasis in the smallest of places. Together with PLATSA system you can have both a space for privacy and a home for all your things.,bed,00097
SLÄKT,C:\Users\admin\Downloads\app_30798308\slaekt-ext-bed-frame-with-slatted-bed-base-white__0792584_pe764765_s5.jpg,"A bed that grows with your child – in length and in style. You can easily extend the bed and replace the headboard when you want to change the look. A dream for you, your child and your wallet.",bed,00098
SMÅSTAD,C:\Users\admin\Downloads\app_30798308\smastad-loft-bed-white-white-with-desk-with-2-shelves__1168334_pe891901_s5.jpg,"Your child’s very own space for sleeping, drawing, storing, doing homework and playing with friends. This loft bed combination is like a mini room within a room on only 2 square metres of space.",bed,00099
VEVELSTAD,C:\Users\admin\Downloads\app_30798308\vevelstad-bed-frame-with-1-headboard-white-tolkning-rattan__1111397_pe870761_s5.jpg,The headboard in natural fibres gives VEVELSTAD bed frame with clean lines a warm expression while protecting the wall behind. A simple way to make your bedroom feel snug and cosy.,bed,00100
SKÖNABÄCK,C:\Users\admin\Downloads\app_30798308\skoenabaeck-2-seat-sofa-bed-knisa-dark-grey__1360572_pe954478_s5.jpg,"More than meets the eye – this welcoming, embracing sofa bed has hidden talents. You can easily create an extra seat, unfold it into a bed and keep your belongings easily accessible in the storage space.",bed,00101
ÄLVDALEN,C:\Users\admin\Downloads\app_30798308\aelvdalen-3-seat-sofa-bed-knisa-grey-beige__1194633_pe902030_s5.jpg,"It might be hard to believe that a comfy bed is hidden in this stylish sofa. ÄLVDALEN is easy to fold out to get a good night's sleep, comes with a storage space under the seat – and many features to love.",bed,00102
